Brand,Model,Year,Sales,Currency,Car Age
Acura,ILX,2021,14.685,$,4
Acura,ILX,2020,11.757,$,5
Acura,ILX,2019,18.531,$,6
Acura,ILX,2018,20.43,$,7
Acura,TSX,2016,6.287,$,9
Acura,TSX,2015,28.865,$,10
Acura,TSX,2014,32.076,$,11
Acura,TSX,2013,31.998,$,12
Acura,TSX,2012,38.035,$,13
Acura,TSX,2011,30.365,$,14
Acura,TLX,2021,26.548,$,4
Acura,TLX,2020,34.846,$,5
Acura,TLX,2019,47.08,$,6
Acura,RLX,2021,1.019,$,4
Acura,RLX,2020,1.237,$,5
Acura,RLX,2019,2.195,$,6
Acura,RLX,2018,5.014,$,7
Acura,NSX,2021,238.0,$,4
Acura,NSX,2020,581.0,$,5
Acura,NSX,2019,2.0,$,6
Acura,NSX,2018,206.0,$,7
Acura,NSX,2017,221.0,$,8
Acura,NSX,2016,182.0,$,9
Acura,NSX,2007,238.0,$,18
Acura,NSX,2006,415.0,$,19
Acura,NSX,2005,884.0,$,20
Acura,NSX,2004,652.0,$,21
Acura,NSX,2003,1.94,$,22
Acura,RDX,2021,62.876,$,4
Acura,RDX,2020,51.295,$,5
Acura,RDX,2019,51.026,$,6
Acura,RDX,2018,44.75,$,7
Acura,RDX,2017,15.196,$,8
Acura,RDX,2016,10.153,$,9
Acura,RDX,2015,23.356,$,10
Acura,MDX,2021,52.019,$,4
Acura,MDX,2020,54.886,$,5
Acura,MDX,2019,58.208,$,6
Acura,MDX,2018,53.04,$,7
Acura,MDX,2017,43.271,$,8
Acura,MDX,2016,31.178,$,9
Acura,MDX,2015,58.606,$,10
Acura,MDX,2014,57.948,$,11
Acura,MDX,2013,57.281,$,12
Acura,MDX,2012,40.95,$,13
Acura,ZDX,2015,361.0,$,10
Acura,ZDX,2014,1.564,$,11
Acura,ZDX,2013,79.0,$,12
Acura,CL,2005,6.593,$,20
Acura,CL,2004,18.993,$,21
Acura,CL,2003,20.968,$,22
Acura,CL,2002,28.939,$,23
Acura,TL,2015,24.318,$,10
Acura,TL,2014,31.237,$,11
Acura,TL,2013,33.62,$,12
Acura,TL,2012,58.545,$,13
Acura,TL,2011,78.218,$,14
Acura,TL,2010,56.77,$,15
Acura,TL,2009,69.484,$,16
Acura,TL,2008,56.566,$,17
Acura,TL,2007,23.151,$,18
Acura,TL,2006,16.539,$,19
Acura,RL,2013,1.096,$,12
Acura,RL,2012,2.043,$,13
Acura,RL,2011,6.262,$,14
Acura,RL,2010,17.572,$,15
Acura,RL,2009,6.829,$,16
Acura,RL,2008,10.723,$,17
Acura,RL,2007,13.366,$,18
Acura,RL,2006,16.004,$,19
Acura,RSX,2008,16.996,$,17
Acura,RSX,2007,21.94,$,18
Acura,RSX,2006,30.117,$,19
Acura,Vigor,1996,8.469,$,29
Acura,Vigor,1995,13.846,$,30
Acura,Vigor,1994,0.0,$,31
Acura,Legend,1997,18.159,$,28
Acura,Legend,1996,38.866,$,29
Acura,Legend,1995,65.689,$,30
Acura,Legend,1994,64.638,$,31
Acura,Legend,1993,54.713,$,32
Acura,Legend,1992,0.0,$,33
Acura,SLX,2001,694.0,$,24
Acura,SLX,2000,1.299,$,25
Acura,SLX,1999,200.0,$,26
Alfa-romeo,Spider,1995,605.0,$,30
Alfa-romeo,Spider,1994,1.389,$,31
Alfa-romeo,Spider,1993,1.857,$,32
Alfa-romeo,Spider,1992,3.401,$,33
Alfa-romeo,Spider,1991,3.45,$,34
Alfa-romeo,164,1996,357.0,$,29
Alfa-romeo,164,1995,1.721,$,30
Alfa-romeo,164,1994,1.549,$,31
Alfa-romeo,Milano,1993,5.0,$,32
Alfa-romeo,Milano,1992,1.062,$,33
Alfa-romeo,Milano,1991,2.859,$,34
Alfa-romeo,Milano,1990,0.0,$,35
Alfa-romeo,Giulia,2021,8.704,$,4
Alfa-romeo,Giulia,2020,8.904,$,5
Alfa-romeo,4C,2021,144.0,$,4
Alfa-romeo,4C,2020,406.0,$,5
Alfa-romeo,4C,2019,663.0,$,6
Audi,A3,2021,10.418,$,4
Audi,A3,2020,23.61,$,5
Audi,A3,2019,35.984,$,6
Audi,A3,2018,857.0,$,7
Audi,A3,2017,6.561,$,8
Audi,A3,2016,3.874,$,9
Audi,A3,2015,6.353,$,10
Audi,A3,2014,5.389,$,11
Audi,A4,2021,26.435,$,4
Audi,A4,2020,34.434,$,5
Audi,A4,2019,29.013,$,6
Audi,A4,2018,36.744,$,7
Audi,A4,2017,35.234,$,8
Audi,A4,2016,37.07,$,9
Audi,A4,2015,45.411,$,10
Audi,A4,2014,48.922,$,11
Audi,A4,2013,51.043,$,12
Audi,A4,2012,35.739,$,13
Audi,A4,2011,32.137,$,14
Audi,A4,2010,20.871,$,15
Audi,A4,2009,0.0,$,16
Audi,A5,2021,23.023,$,4
Audi,A5,2020,21.301,$,5
Audi,A5,2019,12.934,$,6
Audi,A5,2018,18.664,$,7
Audi,A5,2017,15.385,$,8
Audi,A5,2016,9.8,$,9
Audi,A5,2015,625.0,$,10
Audi,A6,2021,17.807,$,4
Audi,A6,2020,16.304,$,5
Audi,A6,2019,22.85,$,6
Audi,A6,2018,22.428,$,7
Audi,A6,2017,11.124,$,8
Audi,A6,2016,6.786,$,9
Audi,A6,2015,12.001,$,10
Audi,A6,2014,18.074,$,11
Audi,A6,2013,17.585,$,12
Audi,A6,2012,26.364,$,13
Audi,A6,2011,26.131,$,14
Audi,A6,2010,9.946,$,15
Audi,A6,2009,3.672,$,16
Audi,A7,2021,4.955,$,4
Audi,A7,2020,4.81,$,5
Audi,A7,2019,7.721,$,6
Audi,A7,2018,8.483,$,7
Audi,A7,2017,6.27,$,8
Audi,A8,2021,2.963,$,4
Audi,A8,2020,3.127,$,5
Audi,A8,2019,4.99,$,6
Audi,A8,2018,6.3,$,7
Audi,A8,2017,5.7,$,8
Audi,A8,2016,1.463,$,9
Audi,A8,2015,3.826,$,10
Audi,A8,2014,5.43,$,11
Audi,A8,2013,4.09,$,12
Audi,A8,2012,2.3,$,13
Audi,A8,2011,2.481,$,14
Audi,A8,2010,2.085,$,15
Audi,TT,2021,1.324,$,4
Audi,TT,2020,2.294,$,5
Audi,TT,2019,1.167,$,6
Audi,TT,2018,2.053,$,7
Audi,TT,2017,2.236,$,8
Audi,TT,2016,1.935,$,9
Audi,TT,2015,4.355,$,10
Audi,TT,2014,2.822,$,11
Audi,TT,2013,7.88,$,12
Audi,TT,2012,12.523,$,13
Audi,TT,2011,5.139,$,14
